id,year,engine_size,fuel_efficiency,horsepower,price
107,2021,1.9,19.4,136,23706
108,2015,2.2,16.4,139,21639
109,2020,1.6,20.9,117,24365
110,2016,1.6,13.4,129,20375
111,2014,1.6,14.9,115,15283
112,2022,1.0,13.9,96,20567
113,2016,2.4,10.6,180,22302
114,2015,1.7,18.9,129,17410
115,2018,1.9,20.0,110,18739
116,2019,1.9,19.0,123,24129
117,2012,1.6,19.5,115,13210
118,2021,2.3,17.9,172,28278
119,2020,1.3,13.3,86,17190
120,2013,2.2,15.4,192,19041
121,2013,1.0,15.6,64,8545
122,2013,1.5,20.1,84,11512
123,2020,1.7,18.9,122,20826
124,2020,1.8,13.5,136,22724
125,2015,1.2,20.5,107,16275
126,2020,1.4,17.7,104,20446
127,2021,1.2,13.7,87,19422
128,2021,2.4,13.4,187,28346
129,2023,2.4,10.5,156,28722
130,2015,2.1,17.1,151,19336
131,2017,1.2,12.5,88,16513
132,2022,1.9,18.3,131,27005
133,2022,1.9,20.0,143,25680
134,2012,1.3,20.7,103,12628
135,2018,2.1,11.4,170,23566
136,2018,2.5,14.1,185,25240
137,2018,1.4,19.8,125,19956
138,2012,2.0,16.6,134,15962
139,2022,1.5,16.4,115,21481
140,2013,1.8,19.0,135,12437
141,2013,1.0,20.0,87,10139
142,2016,1.7,13.3,137,18817
143,2018,1.8,13.7,140,22037
144,2016,1.1,20.8,72,11382
145,2019,1.2,18.0,95,18862
146,2013,1.3,13.9,111,14515
147,2016,2.2,10.3,137,22001
148,2018,2.3,19.8,200,23313
149,2013,1.7,17.7,143,12792
150,2022,1.2,21.4,91,20228
151,2019,2.4,9.5,180,26306
152,2013,1.1,16.9,72,9656
153,2014,2.2,13.8,156,20224
154,2019,1.4,12.4,91,17693
155,2016,2.0,19.5,145,19534
156,2022,1.3,12.3,108,22448
157,2023,1.0,18.3,68,20393
158,2019,2.2,13.0,128,22705
159,2013,1.5,12.1,115,16483
160,2017,2.1,11.9,142,20702
161,2015,2.1,17.2,139,16689
162,2015,1.6,13.1,110,18158
163,2015,2.3,18.6,178,22174
164,2016,2.0,13.2,141,20726
165,2023,2.1,17.4,167,25932
166,2022,2.5,18.8,182,29767
167,2013,2.1,18.7,160,16659
168,2012,1.9,15.9,125,14670
169,2017,1.9,15.7,121,19032
170,2017,1.4,19.5,88,15948
171,2012,1.2,13.6,89,13348
172,2013,1.5,12.0,104,14260
173,2015,1.5,11.9,109,16954
174,2014,2.3,15.4,173,22078
175,2023,2.3,18.7,174,30512
176,2021,1.7,13.4,105,21476
177,2023,1.4,21.4,87,19599
178,2018,1.7,12.8,99,16272
179,2022,2.0,10.9,125,24930
180,2016,2.1,14.0,151,18868
181,2015,1.8,11.3,153,21882
182,2013,2.2,19.7,155,16166
183,2014,1.9,18.0,138,17985
184,2020,1.4,14.7,112,20728
185,2013,1.1,19.6,76,10843
186,2023,1.2,16.3,100,19719
187,2021,2.0,19.4,144,23138
188,2023,1.1,19.1,75,19698
189,2023,1.7,12.4,151,24300
190,2016,2.4,15.4,168,23231
191,2019,1.8,11.3,123,23441
192,2021,2.1,11.9,126,25417
193,2017,2.3,19.7,155,22114
194,2012,2.2,18.0,195,18925
195,2015,2.0,17.8,122,18507
196,2013,1.9,19.2,123,15019
197,2022,2.3,17.5,170,28682
198,2014,2.3,12.3,164,22500
199,2012,1.5,16.5,97,11676
200,2023,1.0,14.3,64,20610
201,2020,1.6,12.5,110,19514
202,2013,1.8,16.1,106,11759
203,2013,2.1,19.9,151,15876
204,2015,2.4,10.1,177,22705
205,2015,2.0,11.9,186,20566
206,2015,2.2,11.6,173,22385
207,2018,1.4,19.5,105,18400
208,2022,1.0,17.8,57,18562
209,2021,1.3,17.2,91,18395
210,2019,2.2,17.0,146,22356
211,2012,1.6,15.6,106,11530
212,2016,2.0,15.7,151,18456
213,2020,1.7,14.6,147,25529
214,2012,1.0,19.4,64,10620
215,2018,2.2,15.1,155,21107
216,2018,1.1,12.2,70,16988
217,2016,1.4,16.3,95,13569
218,2014,2.1,11.2,139,19175
219,2020,1.3,11.4,101,16423
220,2018,1.6,21.1,98,19048
221,2020,2.0,18.8,131,23072
222,2015,2.1,13.0,147,18108
223,2016,1.5,14.1,109,17736
224,2017,1.8,16.3,121,15848
225,2014,2.0,12.8,140,17744
226,2014,1.3,15.0,108,14665
227,2020,1.9,11.2,144,24416
228,2017,1.2,12.4,82,16696
229,2023,1.5,17.6,101,23393
230,2023,1.5,16.6,94,21485
231,2022,2.1,11.2,153,25736
232,2023,1.9,12.6,139,25240
233,2015,2.0,14.9,169,18607
234,2022,1.6,18.1,139,19796
235,2017,2.2,16.7,156,23618
236,2016,1.3,11.3,76,14070
237,2022,1.7,12.0,137,26427
238,2019,2.2,19.0,158,23655
239,2012,2.4,13.7,200,21772
240,2021,1.4,18.4,107,20461
241,2017,2.0,11.6,150,21990
242,2016,1.1,19.9,80,14525
243,2014,1.0,15.6,77,13693
244,2018,2.2,14.9,146,23164
245,2019,1.4,17.3,92,16385
246,2012,1.4,12.1,89,13314
247,2013,1.5,16.1,86,13149
248,2023,1.2,12.4,79,21469
249,2019,1.6,13.6,118,20246
250,2012,2.0,18.6,132,16131
251,2016,2.5,10.4,186,26159
252,2020,2.4,11.7,140,24518
253,2022,2.4,13.6,169,29578
254,2014,1.4,18.5,110,15780
255,2016,1.2,19.3,84,14654
256,2018,1.9,15.2,135,25238
257,2021,2.1,20.3,121,21284
258,2014,2.3,14.9,156,18669
259,2015,2.1,15.2,158,18047
260,2020,1.6,20.7,122,20927
261,2016,1.9,18.0,157,19217
262,2023,1.5,13.3,120,25226
263,2021,2.1,12.2,145,24435
264,2013,1.6,19.5,83,14218
265,2017,2.0,12.0,150,23531
266,2022,2.1,12.6,173,27696
267,2014,1.0,17.6,56,11192
268,2021,2.3,13.1,149,22073
269,2016,1.7,16.2,122,19446
270,2017,1.3,15.5,88,17369
271,2016,1.1,13.9,59,13097
272,2017,1.6,13.9,132,19118
273,2022,1.1,15.4,91,21202
274,2013,2.1,11.5,152,20100
275,2021,1.6,12.5,112,20240
276,2020,2.4,11.3,221,28942
277,2017,1.8,18.0,129,18203
278,2017,2.3,10.9,163,24552
279,2021,1.7,12.6,124,25213
280,2021,2.5,15.1,200,28493
281,2021,1.5,20.1,106,20270
282,2021,2.1,15.7,142,23910
283,2023,1.8,18.6,132,26872
284,2014,1.3,13.1,79,12272
285,2016,2.0,15.7,166,21913
286,2023,1.2,16.6,83,21117
287,2018,1.3,16.2,99,16357
288,2020,2.2,20.0,161,24677
289,2016,2.1,17.4,136,19228
290,2016,2.5,12.9,175,24775
291,2020,1.5,13.5,104,21770
292,2012,1.4,15.7,93,11717
293,2020,1.7,19.7,132,20992
294,2014,2.0,12.0,125,18771
295,2019,1.1,13.8,75,15977
296,2020,1.5,20.8,112,20727
297,2014,1.1,12.0,97,13006
298,2017,1.3,13.5,81,15509
299,2022,1.6,14.0,100,21767
300,2014,2.2,18.6,176,20419
301,2020,1.5,12.2,126,22206
302,2019,1.4,17.5,100,17770
303,2016,1.4,21.2,102,16647
304,2023,1.9,18.8,156,26368
305,2015,1.3,12.7,95,14224
306,2017,1.7,16.9,136,20971
307,2019,2.4,17.3,175,24954
308,2023,1.7,21.2,125,24847
309,2012,1.4,20.2,99,11653
310,2020,1.5,12.5,95,21365
311,2019,1.9,13.6,141,19086
312,2021,1.4,15.5,105,19737
313,2019,1.8,17.6,144,21871
314,2012,1.6,19.3,120,14937
315,2012,2.2,12.8,180,19481
316,2013,1.4,19.1,102,13499
317,2023,1.8,17.9,135,27800
318,2021,1.5,11.7,103,21930
319,2020,1.2,17.4,87,19065
320,2023,1.4,16.2,108,23814
321,2018,2.2,14.1,144,23009
322,2017,2.2,18.3,150,22144
323,2020,1.6,17.7,94,21454
324,2018,1.8,17.2,124,20861
325,2021,2.0,14.5,147,26640
326,2016,1.8,16.1,136,19300
327,2012,1.2,21.1,86,9883
328,2017,2.4,13.4,167,23141
329,2016,1.4,17.3,121,14559
330,2017,1.8,17.1,103,18758
331,2022,2.3,12.2,162,30925
332,2016,2.4,12.8,178,23832
333,2014,1.2,18.7,101,11728
334,2019,1.9,14.6,113,20431
335,2015,2.4,14.2,165,21002
336,2017,2.2,18.5,138,20635
337,2023,2.5,17.3,202,27776
338,2015,1.4,19.1,90,10728
339,2020,1.5,16.2,116,23002
340,2018,2.4,10.9,169,26797
341,2012,1.4,11.3,83,13607
342,2017,2.0,17.2,162,20605
343,2023,2.2,13.4,154,28694
344,2016,1.0,20.3,89,13886
345,2014,1.9,14.7,111,15668
346,2014,1.8,16.2,135,17735
347,2013,2.2,12.1,158,20567
348,2019,1.6,13.5,127,20796
349,2020,1.3,18.5,75,18802
350,2021,1.9,10.8,136,25747
351,2023,1.4,11.7,98,23145
352,2023,1.7,12.0,117,24903
353,2023,1.6,17.9,104,24359
354,2019,2.3,12.1,139,25841
355,2022,2.2,16.0,147,23575
356,2019,2.4,15.6,139,23881
357,2022,2.3,18.5,173,26745
358,2022,2.4,13.0,179,28467
359,2023,2.5,18.4,137,26112
360,2014,1.6,19.4,97,13956
361,2013,1.3,13.7,107,15077
362,2013,1.6,12.4,146,16072
363,2017,1.3,11.4,99,17198
364,2023,1.1,14.4,76,20565
365,2014,1.7,11.4,138,18399
366,2023,1.6,15.2,126,23267
367,2023,2.5,12.5,155,29277
368,2015,2.0,16.5,160,22906
369,2015,2.3,18.0,140,16479
370,2015,2.3,19.1,171,24764
371,2023,1.7,11.7,108,22415
372,2023,1.9,18.6,151,24703
373,2016,1.8,18.4,152,19304
374,2017,1.7,17.5,143,19551
375,2013,1.5,20.8,122,15125
376,2013,1.8,15.9,117,15829
377,2019,1.3,14.2,83,15483
378,2020,2.4,12.3,158,27373
379,2013,2.0,18.1,148,15801
380,2022,2.0,16.1,122,26901
381,2020,2.3,17.0,190,26850
382,2022,1.4,17.2,82,18330
383,2018,1.6,20.7,113,15801
384,2013,2.5,16.1,182,20497
385,2012,1.3,13.3,107,13089
386,2020,2.4,14.5,177,30776
387,2021,2.3,18.4,153,27957
388,2018,1.7,12.4,118,20717
389,2014,1.9,14.3,104,16250
390,2019,2.2,17.1,142,25158
391,2015,1.2,16.1,84,14783
392,2016,2.1,12.4,116,19351
393,2014,1.1,17.8,80,14338
394,2021,1.5,18.1,98,21281
395,2022,2.5,14.8,181,28588
396,2018,1.8,12.7,131,23173
397,2022,1.9,16.9,140,25180
398,2012,1.8,15.0,122,16483
399,2022,2.2,10.7,137,26028
400,2015,2.5,17.0,199,25876
401,2018,1.8,13.0,132,20481
402,2021,1.9,11.7,156,29751
403,2017,1.8,17.7,151,20114
404,2014,2.4,19.0,159,21591
405,2023,1.4,14.2,122,25253
406,2018,2.4,16.7,160,23036
407,2016,1.5,19.1,91,14625
408,2022,1.5,14.3,91,21946
409,2018,2.4,12.6,191,28163
410,2019,2.5,19.4,166,25128
411,2013,2.5,16.5,169,17505
412,2023,1.1,17.4,75,22084
413,2019,2.0,11.3,162,24108
414,2017,2.0,12.4,144,22648
415,2017,2.4,16.5,168,21796
416,2023,1.0,14.2,57,17794
417,2022,2.1,16.7,175,25924
418,2012,1.6,16.9,147,17375
419,2017,2.5,10.6,156,24472
420,2023,2.3,15.3,186,27197
421,2020,1.4,11.8,111,19503
422,2016,1.1,14.7,85,13953
423,2012,2.0,20.1,128,13247
424,2021,1.8,21.2,121,21171
425,2012,2.4,13.7,165,19636
426,2019,2.2,19.5,160,24514
427,2019,1.7,15.8,125,19943
428,2017,1.0,15.2,65,13863
429,2016,1.2,20.0,78,14765
430,2014,2.2,20.4,140,15373
431,2020,1.5,14.6,107,18794
432,2021,1.4,14.3,81,21478
433,2020,2.3,17.6,178,29232
434,2016,1.6,13.6,115,17117
435,2018,1.0,14.5,78,14605
436,2023,1.9,12.3,109,24214
437,2017,1.4,22.0,99,18462
438,2012,1.8,17.8,135,13293
439,2014,1.8,21.1,133,17084
440,2012,1.3,20.5,90,8967
441,2016,2.2,14.7,168,21702
442,2021,1.4,19.3,87,19797
443,2020,2.3,15.0,146,27017
444,2020,2.3,11.4,165,25621
445,2014,1.4,12.9,91,15242
446,2015,2.0,14.1,127,20742
447,2022,1.1,17.8,79,17941
448,2023,2.1,17.3,172,31079
449,2023,1.9,17.0,105,20986
450,2021,2.1,12.0,129,27074
451,2023,1.3,19.2,109,24600
452,2015,2.3,17.3,177,19088
453,2022,1.4,13.2,82,22281
454,2023,2.1,16.1,154,25625
455,2018,2.0,12.6,167,23660
456,2012,1.8,15.9,149,14167
457,2018,1.4,19.3,111,16554
458,2023,1.3,14.7,104,22059
459,2016,1.9,13.4,151,23026
460,2018,2.5,18.4,202,23728
461,2017,1.1,19.5,102,14074
462,2015,2.3,13.6,184,24068
463,2018,2.3,19.2,189,27101
464,2014,1.7,15.1,146,15409
465,2019,1.6,16.5,122,19958
466,2017,2.2,16.1,147,20903
467,2013,1.5,17.8,118,16736
468,2018,1.9,18.7,125,19634
469,2013,1.0,20.8,91,9528
470,2013,1.9,20.7,151,19220
471,2019,1.9,13.5,149,24286
472,2022,2.3,17.9,162,26244
473,2014,1.3,18.5,91,12693
474,2016,2.5,17.9,194,23665
475,2023,1.3,16.5,92,20992
476,2019,1.3,19.1,74,14938
477,2015,1.3,19.7,100,11508
478,2023,1.9,15.1,120,26650
479,2019,1.9,15.2,120,22899
480,2021,1.4,13.6,92,17448
481,2023,2.2,17.6,182,26901
482,2013,1.7,17.1,125,17358
483,2020,2.3,16.7,157,24945
484,2012,2.2,18.1,157,17650
485,2017,1.3,12.4,107,15439
486,2014,1.3,20.0,86,12533
487,2019,1.8,20.6,119,20025
488,2022,2.3,11.3,189,30221
489,2016,2.3,16.5,154,20644
490,2012,1.8,13.8,120,15906
491,2022,1.4,17.9,97,21049
492,2013,1.8,20.9,129,14188
493,2013,1.3,16.1,74,13000
494,2021,2.2,16.8,140,24403
495,2020,2.3,12.2,146,25729
496,2019,2.4,17.0,178,26966
497,2012,1.4,15.3,113,13296
498,2020,1.4,13.7,109,18856
499,2019,2.4,13.6,172,26305
500,2021,2.4,14.7,168,30217
501,2015,1.9,10.8,152,17434
502,2013,2.5,19.6,180,21449
503,2017,1.1,12.8,71,14926
504,2013,1.3,12.3,82,13751
505,2019,1.9,11.6,161,22379
506,2013,2.3,17.1,172,18043
507,2012,1.7,19.9,134,13967
508,2012,1.2,21.4,95,9940
509,2020,1.2,15.2,82,19544
510,2013,1.2,16.6,108,15459
511,2021,1.5,12.5,94,19384
512,2019,1.1,14.2,101,18390
513,2019,1.0,13.8,68,13587
514,2017,1.6,11.1,132,20843
515,2013,1.1,15.1,64,8693
516,2021,1.5,18.4,126,21319
517,2019,1.2,20.1,64,17013
518,2014,1.3,19.4,88,14712
519,2012,1.4,17.0,90,11646
520,2017,1.2,22.3,94,16002
521,2018,1.6,17.8,105,18264
522,2015,2.0,10.6,161,17886
523,2018,1.4,17.3,79,15945
524,2015,1.8,19.7,110,15778
525,2013,1.8,20.4,132,16222
526,2019,1.7,13.9,116,20407
527,2017,1.8,18.8,151,20690
528,2017,2.4,11.0,156,25968
529,2021,2.3,15.9,150,25653
530,2014,2.2,16.6,170,19049
531,2014,1.5,13.7,125,18505
532,2012,1.6,13.0,116,10204
533,2018,1.6,18.1,100,17067
534,2020,1.1,15.2,68,17192
535,2016,2.3,18.5,191,22815
536,2017,1.3,11.9,97,17994
537,2017,2.2,13.3,155,22398
538,2021,1.4,14.0,108,22350
539,2019,1.1,14.7,73,16114
540,2021,1.1,15.6,76,17335
541,2015,1.7,15.4,112,17220
542,2016,2.1,11.4,124,18143
543,2017,1.2,15.7,79,14435
544,2017,1.4,19.9,120,16283
545,2014,2.0,16.1,160,19769
546,2017,2.0,11.6,150,23531
547,2020,1.8,16.0,123,22128
548,2018,2.4,18.9,202,26065
549,2021,1.8,11.1,112,24873
550,2018,1.4,12.9,119,19783
551,2023,1.2,11.7,90,22771
552,2012,1.9,13.4,149,17235
553,2022,1.2,15.2,104,22848
554,2015,1.7,17.6,138,20431
555,2013,2.0,16.5,181,16562
556,2021,1.6,18.4,110,18655
557,2015,1.9,17.0,131,19468
558,2022,2.4,10.9,157,28050
559,2023,1.5,13.0,99,23392
560,2022,1.6,18.4,130,25275
561,2014,1.2,15.7,85,12130
562,2012,1.5,13.0,82,12792
563,2017,2.3,13.5,205,23928
564,2015,2.0,11.4,122,19311
565,2022,1.2,15.6,95,21622
566,2020,1.4,17.4,108,20496
567,2015,1.8,13.0,123,18983
568,2018,2.5,10.4,189,26160
569,2022,1.1,15.3,70,20418
570,2019,1.8,19.4,116,22235
571,2014,2.4,17.5,142,17950
572,2017,1.9,16.9,168,19505
573,2020,1.4,15.2,91,19098
574,2015,1.2,16.8,69,12943
575,2017,1.6,11.3,138,20554
576,2020,1.3,16.4,87,17941
577,2023,1.2,21.0,111,18805
578,2014,1.4,17.6,109,14924
579,2023,1.4,16.8,87,22457
580,2015,1.3,19.3,100,15461
581,2021,1.4,15.9,120,21772
582,2012,1.2,18.3,99,10925
583,2023,2.2,16.1,146,26412
584,2014,1.3,18.9,91,11132
585,2022,1.9,19.6,132,26099
586,2020,1.0,20.5,70,14624
587,2014,1.9,16.2,152,19389
588,2018,1.7,12.6,99,17410
589,2017,1.6,15.5,123,20358
590,2014,2.3,20.7,192,21900
591,2012,1.5,19.6,95,13350
592,2015,1.5,18.6,136,13679
593,2013,2.0,18.0,127,19127
594,2023,1.5,12.3,88,23395
595,2019,1.5,12.9,102,20523
596,2018,1.2,20.5,90,14703
597,2018,2.2,18.3,190,23701
598,2014,2.1,10.8,147,18686
599,2023,1.6,20.0,122,23829
600,2013,2.0,17.8,140,20019
601,2017,1.2,13.1,84,15035
602,2018,1.7,15.3,110,22250
603,2012,2.0,10.8,121,15343
604,2018,2.2,13.1,168,26755
605,2016,2.1,12.9,149,23821
606,2020,1.3,15.6,76,18777
607,2017,1.0,18.2,67,10546
608,2014,2.3,10.4,158,22323
609,2020,1.5,14.8,117,19697
610,2012,1.4,14.1,81,9100
611,2017,1.9,18.1,114,20229
612,2013,1.4,20.1,105,14019
613,2015,1.4,18.3,109,15575
614,2015,2.5,12.8,196,23392
615,2016,1.0,20.6,68,12711
616,2017,1.6,21.1,99,17304
617,2021,2.2,16.8,166,27050
618,2021,2.1,11.5,158,24655
619,2016,1.3,19.1,84,14284
620,2020,1.5,13.3,124,23502
621,2014,2.2,10.7,188,21136
622,2012,1.5,19.5,142,14934
623,2019,1.1,18.5,86,15670
624,2013,1.1,11.5,64,11086
625,2017,2.0,11.6,164,24032
626,2019,2.0,17.3,158,22695
627,2012,1.7,19.1,129,12446
628,2015,1.9,15.0,130,14803
629,2012,1.5,15.0,82,11834
630,2013,1.9,13.1,122,16929
631,2019,2.5,10.6,187,26980
632,2018,1.8,12.3,120,19781
633,2019,1.8,19.6,138,22105
634,2022,1.7,17.5,119,23422
635,2017,1.5,15.1,130,19831
636,2017,2.1,11.6,157,22090
637,2012,1.3,11.9,92,13560
638,2021,1.2,22.3,81,17596
639,2012,1.7,19.6,139,15269
640,2019,1.5,14.2,110,20165
641,2012,2.3,10.8,135,15697
642,2014,1.0,12.7,78,10611
643,2018,1.3,14.5,90,14146
644,2013,2.3,17.6,156,19547
645,2019,1.2,13.1,92,17763
646,2017,1.0,19.4,74,12665
647,2013,1.6,18.1,101,13104
648,2016,2.2,13.9,160,22340
649,2021,1.1,14.5,72,17875
650,2018,1.6,12.3,132,20867
651,2018,1.9,16.9,149,20551
652,2020,2.4,15.5,214,26708
653,2017,1.5,15.3,105,17221
654,2021,1.8,17.5,147,24157
655,2023,1.3,12.9,89,21415
656,2018,1.6,17.1,105,19734
657,2022,1.1,17.4,60,19310
658,2020,1.4,14.9,108,18737
659,2019,2.1,10.9,124,23475
660,2015,2.4,13.3,168,23851
661,2013,1.8,14.0,129,14064
662,2018,2.1,14.7,174,23663
663,2013,2.2,13.6,143,15709
664,2014,1.7,15.3,132,17919
665,2019,2.3,16.5,159,26947
666,2023,1.9,17.1,134,25157
667,2018,1.7,16.1,96,21133
668,2023,1.7,15.7,128,25997
669,2013,2.0,10.7,140,15841
670,2012,2.3,11.9,160,21114
671,2023,2.1,19.3,157,26037
672,2015,1.2,19.0,111,16873
673,2018,1.8,11.5,137,23547
674,2014,1.2,16.5,84,13580
675,2012,1.8,20.5,145,14046
676,2018,2.1,15.3,183,24693
677,2014,1.7,17.6,108,15774
678,2014,2.4,16.1,196,20513
679,2020,1.9,16.0,120,23159
680,2019,2.2,15.5,148,24716
681,2017,1.8,18.2,107,18386
682,2023,2.3,10.2,135,28054
683,2014,1.1,14.4,111,9860
684,2019,2.1,18.6,144,22136
685,2020,2.2,10.7,127,26097
686,2013,1.2,17.7,82,13025
687,2013,1.5,11.8,99,16586
688,2015,2.3,12.6,183,21236
689,2012,1.1,12.6,67,8757
690,2019,1.8,12.5,125,19275
691,2013,1.0,12.8,66,11995
692,2016,1.8,17.5,121,16537
693,2021,1.7,16.8,117,21724
694,2015,1.3,11.8,89,11827
695,2012,2.5,17.3,160,21392
696,2016,1.5,13.8,75,15781
697,2015,1.6,21.2,120,14788
698,2019,1.9,20.2,148,19751
699,2017,1.4,15.5,104,16919
700,2014,1.8,13.4,139,21603
701,2013,2.1,14.9,136,16899
702,2022,1.1,20.8,73,16995
703,2017,2.2,12.0,141,22162
704,2019,1.5,18.7,120,18937
705,2020,2.2,12.7,167,24742
706,2018,1.0,20.5,77,14233
707,2015,1.1,16.6,77,12373
708,2013,1.3,19.3,101,12015
709,2018,2.5,19.4,194,24093
710,2016,2.1,11.2,138,20617
711,2022,1.0,17.8,78,15293
712,2017,2.4,15.3,187,24655
713,2016,1.2,15.3,81,13418
714,2014,2.1,10.9,145,21003
715,2018,1.6,17.1,115,19390
716,2017,1.2,18.0,104,15497
717,2012,1.3,12.5,105,11977
718,2014,1.9,18.2,129,15374
719,2023,1.4,18.3,86,23369
720,2016,1.3,12.7,86,16383
721,2022,2.1,15.1,157,26927
722,2015,1.1,15.6,83,14232
723,2014,2.4,19.4,164,17420
724,2022,1.3,12.6,81,20315
725,2019,1.2,20.3,95,20655
726,2012,1.4,18.2,110,12970
727,2018,1.0,19.7,85,12780
728,2014,1.2,12.1,94,12097
729,2018,1.4,13.9,116,20051
730,2020,1.3,15.1,97,20400
731,2019,2.1,10.4,141,22106
732,2012,1.1,11.1,89,10148
733,2022,2.3,15.9,172,25917
734,2014,1.7,16.8,100,16666
735,2021,2.1,13.1,148,24863
736,2020,1.8,15.1,122,20881
737,2017,1.5,12.6,116,20849
738,2012,1.7,11.0,124,15544
739,2014,1.4,19.0,106,10632
740,2022,2.4,11.6,186,31336
741,2021,1.9,11.9,131,25970
742,2016,2.3,10.7,175,24661
743,2021,1.5,20.1,120,22483
744,2017,2.5,18.6,158,25109
745,2014,1.8,17.1,125,16426
746,2023,1.9,20.0,152,25705
747,2021,1.4,20.8,96,20684
748,2021,2.1,13.7,145,24064
749,2012,1.0,20.9,63,8838
750,2022,1.2,16.2,113,20433
751,2017,1.2,12.5,103,16516
752,2020,1.8,18.1,143,24147
753,2015,1.3,19.6,84,15579
754,2012,1.8,20.7,123,15087
755,2012,1.9,13.3,148,15410
756,2013,2.0,19.6,160,18446
757,2017,1.5,11.6,121,20404
758,2017,2.1,12.5,175,24805
759,2012,1.0,19.4,88,10958
760,2021,1.7,20.5,92,19582
761,2014,1.3,19.9,89,12205
762,2014,1.2,21.5,57,12863
763,2023,1.4,20.1,117,23639
764,2023,1.8,11.2,128,27155
765,2018,1.2,13.2,81,14945
766,2016,1.8,12.5,116,17674
767,2015,2.0,16.1,159,20674
768,2022,2.0,11.7,124,26038
769,2020,2.2,13.8,194,24242
770,2012,1.1,21.0,73,13054
771,2013,1.4,14.4,127,16961
772,2020,1.1,21.6,79,17249
773,2015,2.2,16.4,181,23755
774,2017,2.5,10.4,171,27290
775,2013,1.4,14.7,106,13848
